Commodity,Horizon,Train_rows,Val_rows,Test_rows,Features_used,Features_horizon_masked,Best_HPO_iteration,Final_rounds,Val_RMSE,Val_MAE,Val_MAPE_%,Val_R2,Test_RMSE,Test_MAE,Test_MAPE_%,Test_R2
Bhindi(Ladies Finger),1,16286,3134,2613,20,0,432,475,422.1128,299.6827,7.0846,0.775232,317.2503,223.4418,6.5948,0.88078
Bhindi(Ladies Finger),3,16026,3056,2541,18,2,126,138,641.4143,490.4904,11.524,0.481968,491.7774,369.7037,11.7552,0.706149
Bhindi(Ladies Finger),7,15850,2913,2397,17,3,141,155,755.8435,596.3073,13.6216,0.275611,591.6652,453.9522,15.0512,0.560142
Bhindi(Ladies Finger),14,15768,2662,2145,15,5,128,140,817.0538,654.5945,14.9025,0.126161,685.0278,530.4257,18.3955,0.391473
Green Chilli,1,16261,3140,2593,20,0,359,394,391.1329,261.4465,5.314,0.847866,399.715,267.7755,6.1443,0.810067
Green Chilli,3,15992,3064,2513,18,2,94,103,531.2414,381.2036,7.76,0.717716,511.4016,363.0959,8.3205,0.686299
Green Chilli,7,15818,2921,2367,17,3,150,165,619.1234,468.9205,9.5379,0.618424,573.6127,431.6943,9.9454,0.611994
Green Chilli,14,15749,2671,2115,15,5,20,100,779.97,607.2476,12.1796,0.406168,741.7385,560.2037,12.2905,0.352001
Tomato,1,15622,2594,2228,20,0,291,320,237.8649,163.4107,7.3829,0.941873,386.0464,286.615,8.4258,0.829284
Tomato,3,15383,2519,2139,18,2,483,531,313.0312,223.7383,10.3791,0.880494,608.7393,464.5913,13.4969,0.545603
Tomato,7,15261,2410,2045,17,3,416,457,344.8124,251.932,12.2939,0.781881,1069.5748,907.011,24.6411,-0.657882
Tomato,14,15124,2192,1820,15,5,228,250,364.2759,271.2855,14.1325,0.616026,1713.2149,1618.9386,43.1549,-5.349876
Onion,1,16286,3146,2612,17,0,53,100,156.5538,102.1609,3.5051,0.885077,136.068,86.2355,3.254,0.869883
Onion,3,16041,3070,2540,15,2,145,159,220.6309,168.5641,5.8377,0.763216,166.4878,116.8618,4.4417,0.8065
Onion,7,15936,2926,2396,14,3,24,100,330.8151,270.1019,9.5183,0.429521,206.7358,153.9641,5.9199,0.70527
Onion,14,15735,2675,2144,12,5,88,100,454.4594,375.0912,13.3231,-0.19924,249.3776,184.9525,7.0342,0.582823
Banana - Green,1,16028,3060,2529,16,0,482,530,159.101,89.6249,2.8161,0.96037,114.5998,64.441,2.1149,0.972512
Banana - Green,3,15758,2986,2462,14,2,512,563,180.834,104.7613,3.2797,0.948854,134.4641,75.9149,2.4553,0.961903
Banana - Green,7,15582,2842,2322,13,3,187,205,203.6582,127.7804,3.9859,0.935075,145.6096,86.1543,2.8286,0.955344
Banana - Green,14,15517,2592,2076,11,5,321,353,257.53,175.2245,5.3878,0.896568,176.5516,109.4917,3.5801,0.934395
Mint(Pudina),1,15806,3066,2548,19,0,301,331,208.5569,115.669,3.3056,0.952502,268.1077,150.773,3.8668,0.938534
Mint(Pudina),3,15619,2992,2482,17,2,104,114,248.8727,154.1719,4.4321,0.932661,356.6695,209.4829,5.2438,0.891702
Mint(Pudina),7,15435,2850,2341,16,3,201,221,278.7841,184.8926,5.3684,0.915906,453.5913,269.9917,6.5623,0.826066
Mint(Pudina),14,15307,2605,2091,14,5,302,332,326.366,226.1286,6.5502,0.885441,548.0088,346.9158,8.3314,0.75271
Coconut,1,17207,3130,2608,14,0,138,151,191.5671,114.9647,2.187,0.965818,168.6858,98.5297,2.061,0.965835
Coconut,3,16987,3054,2534,12,2,104,114,241.8165,161.5823,3.1175,0.945678,221.4347,148.8451,3.1014,0.940833
Coconut,7,16814,2913,2391,11,3,66,100,322.4486,235.7921,4.5869,0.903737,293.8509,212.3611,4.3989,0.895153
Coconut,14,16663,2662,2139,9,5,24,100,431.7163,332.9413,6.7538,0.828111,411.9649,309.3761,6.5115,0.794021
Bitter Gourd,1,15353,2551,2185,19,0,780,858,347.9985,236.4315,5.589,0.851113,369.7992,258.9957,5.9461,0.807102
Bitter Gourd,3,15100,2470,2098,17,2,93,102,418.145,294.6901,7.0112,0.785874,455.9618,329.8739,7.5709,0.702778
Bitter Gourd,7,14968,2364,2015,16,3,614,675,478.1052,361.5808,8.5133,0.724597,580.5674,430.05,9.7834,0.509108
Bitter Gourd,14,14841,2154,1790,14,5,21,100,558.4541,439.479,10.4101,0.636233,827.7695,597.8511,13.5946,-0.041735
Cabbage,1,15949,3038,2571,17,0,530,583,183.4835,115.2878,4.8475,0.918865,270.7549,183.0228,5.5843,0.921153
Cabbage,3,15754,2966,2497,15,2,405,445,236.1617,161.2752,6.7596,0.864004,412.1967,292.8074,8.6573,0.817244
Cabbage,7,15573,2828,2354,14,3,253,278,271.7302,190.9719,8.0914,0.817734,620.1568,483.0876,13.9598,0.580602
Cabbage,14,15441,2585,2109,12,5,300,330,304.9431,224.9487,9.6207,0.765337,917.0482,753.6653,21.0601,0.029114
Pumpkin,1,14980,2932,2397,18,0,140,154,148.7731,84.8071,4.5039,0.860347,136.3413,73.548,3.5883,0.886886
Pumpkin,3,14772,2860,2329,16,2,34,100,177.2113,115.4014,6.1793,0.799067,172.1116,101.9227,4.9041,0.818969
Pumpkin,7,14593,2726,2200,15,3,233,256,199.829,133.4086,7.1548,0.739986,197.1038,121.5136,5.7683,0.758905
Pumpkin,14,14432,2488,1968,13,5,31,100,236.3958,168.9107,8.9854,0.63289,260.208,180.2737,8.4681,0.582095
