Feature,Gain,Split,Retained
lag_1,98890939826.0,251,True
rolling_mean_7,36773385096.0,201,True
WeekOfYear,23069785772.0,925,True
price_change_7d,10395788782.0,217,True
lag_3,7513098136.0,116,True
price_change_30d,7006136614.0,327,True
Month,5551885462.0,180,True
lag_21,4774247836.0,262,True
District,3914340126.0,329,True
rolling_mean_30,3394980750.0,255,True
Year,3217002162.0,161,True
month_sin,3162441222.0,128,True
lag_7,2876892910.0,160,True
price_change_1d,2673512832.0,143,True
rolling_std_30,2346179430.0,238,True
lag_14,2226005400.0,216,True
lag_30,1830246494.0,195,True
month_cos,854848190.0,40,True
rolling_std_7,801380940.0,115,True
records_aggregated,405371410.0,63,True
DayOfWeek,384474460.0,64,False
dow_sin,216471720.0,34,False
Quarter,103168180.0,8,False
dow_cos,79155300.0,21,False
days_since_last_observation,19274900.0,1,False
min_price_zero_flag,0.0,0,False
is_outlier_iqr,0.0,0,False
