Commodity,Record_Count,Q1,Q3,IQR,Lower_Fence,Upper_Fence,Outlier_Count,Outlier_Pct
Guava,71451,4750.0,6000.0,1250.0,1000.0,9750.0,1590,2.23
Drumstick,92401,4000.0,8500.0,4500.0,-9500.0,22000.0,1397,1.51
Papaya,89496,2750.0,3650.0,900.0,50.0,6350.0,1373,1.53
Elephant Yam (Suran),39880,5500.0,7200.0,1700.0,400.0,12300.0,939,2.35
Tapioca,56356,2750.0,3500.0,750.0,500.0,5750.0,754,1.34
Bitter Gourd,94958,3750.0,5500.0,1750.0,-1500.0,10750.0,669,0.7
Coriander(Leaves),106162,3500.0,5500.0,2000.0,-2500.0,11500.0,576,0.54
Green Chilli,113295,3800.0,5750.0,1950.0,-2050.0,11600.0,494,0.44
Beans,90022,5750.0,8500.0,2750.0,-2500.0,16750.0,487,0.54
Amaranthus,68797,2000.0,3200.0,1200.0,-1600.0,6800.0,484,0.7
Jasmine,12764,38000.0,70000.0,32000.0,-58000.0,166000.0,457,3.58
Lemon,100029,6000.0,10600.0,4600.0,-7800.0,24400.0,391,0.39
Cauliflower,75147,2750.0,4000.0,1250.0,-1000.0,7750.0,335,0.45
Indian Beans (Seam),15697,5500.0,7000.0,1500.0,1000.0,11500.0,269,1.71
Pomegranate,19226,17000.0,22000.0,5000.0,2000.0,37000.0,207,1.08
Custard Apple (Sharifa),8233,4000.0,5000.0,1000.0,1000.0,8000.0,200,2.43
Banana - Green,112033,2500.0,3500.0,1000.0,-500.0,6500.0,143,0.13
Ashgourd,96313,1750.0,2500.0,750.0,-500.0,4750.0,140,0.15
Mint(Pudina),104771,3000.0,4500.0,1500.0,-1500.0,9000.0,126,0.12
Carrot,91600,4500.0,7000.0,2500.0,-3000.0,14500.0,120,0.13
Brinjal,100013,3000.0,5000.0,2000.0,-3000.0,11000.0,119,0.12
Bajra(Pearl Millet/Cumbu),3200,2419.0,3121.5,702.5,311.5,5229.0,116,3.62
Bottle Gourd,112226,1500.0,2500.0,1000.0,-1500.0,5500.0,112,0.1
Pumpkin,100394,1750.0,2500.0,750.0,-500.0,4750.0,111,0.11
Ginger(Green),90632,6000.0,9750.0,3750.0,-5250.0,21000.0,103,0.11
Orange,14436,8000.0,12000.0,4000.0,-4000.0,24000.0,102,0.71
Green Avare (W),59529,5000.0,8000.0,3000.0,-4000.0,17000.0,100,0.17
Tube Flower,3969,45000.0,75000.0,30000.0,-45000.0,165000.0,98,2.47
Green Avare(W),33302,4750.0,7500.0,2750.0,-3500.0,15750.0,83,0.25
Mango(Raw-Ripe),28393,2750.0,6500.0,3750.0,-8500.0,17750.0,82,0.29
Hybrid Cumbu,798,2279.25,2600.0,320.75,1317.0,3562.25,80,10.03
Banana,88513,4000.0,6000.0,2000.0,-2000.0,12000.0,79,0.09
Turnip,7881,3500.0,5500.0,2000.0,-2500.0,11500.0,75,0.95
Soyabean,3158,8500.0,10000.0,1500.0,4000.0,14500.0,73,2.31
Paddy(Dhan)(Common),37533,1698.0,2150.0,452.0,342.0,3506.0,68,0.18
Potato,85395,3200.0,4800.0,1600.0,-1600.0,9600.0,59,0.07
Water Melon,16552,1500.0,2250.0,750.0,-750.0,4500.0,56,0.34
Amla(Nelli Kai),45150,6000.0,8000.0,2000.0,0.0,14000.0,49,0.11
Chow Chow,84332,2500.0,3600.0,1100.0,-800.0,6900.0,41,0.05
Tobacco,327,3000.0,3100.0,100.0,2700.0,3400.0,41,12.54
Kakada,5126,30000.0,70000.0,40000.0,-90000.0,190000.0,39,0.76
Chikoos(Sapota),42472,3750.0,5000.0,1250.0,0.0,8750.0,38,0.09
Raddish,107729,2350.0,3500.0,1150.0,-1100.0,6950.0,35,0.03
Pear(Marasebu),458,10000.0,12000.0,2000.0,4000.0,18000.0,33,7.21
Ridgeguard(Tori),102529,3750.0,5000.0,1250.0,0.0,8750.0,33,0.03
Tube Rose(Loose),5803,6000.0,14000.0,8000.0,-18000.0,38000.0,29,0.5
Tomato,101097,1800.0,3600.0,1800.0,-3600.0,9000.0,28,0.03
Paddy(Common),4074,1839.0,2201.88,362.88,750.38,3290.5,26,0.64
Tender Coconut,39950,2500.0,3500.0,1000.0,-500.0,6500.0,25,0.06
Thondekai,53501,3500.0,5000.0,1500.0,-1000.0,9500.0,22,0.04
Copra,5645,7350.0,8310.0,960.0,4470.0,11190.0,17,0.3
Mango (Raw-Ripe),47611,3000.0,8000.0,5000.0,-12000.0,23000.0,17,0.04
Snakeguard,111425,2750.0,4000.0,1250.0,-1000.0,7750.0,16,0.01
Cucumbar(Kheera),49079,3000.0,5000.0,2000.0,-3000.0,11000.0,16,0.03
Marigold(Calcutta),17738,10000.0,20000.0,10000.0,-20000.0,50000.0,14,0.08
Cluster Beans,102221,3300.0,4500.0,1200.0,-300.0,8100.0,14,0.01
Groundnut,36294,6000.0,7500.0,1500.0,1500.0,12000.0,14,0.04
Knool Khol,49676,3300.0,5000.0,1700.0,-1800.0,10100.0,13,0.03
Sweet Potato,45831,3350.0,4600.0,1250.0,-400.0,8350.0,13,0.03
Jack Fruit,5732,2000.0,4000.0,2000.0,-4000.0,10000.0,12,0.21
Capsicum,43973,5150.0,7200.0,2050.0,-1000.0,13350.0,12,0.03
Coconut,123742,4000.0,6500.0,2500.0,-3500.0,14000.0,11,0.01
Cowpea(Veg),33986,3000.0,4800.0,1800.0,-2400.0,10200.0,10,0.03
Indian Beans(Seam),11062,4800.0,6500.0,1700.0,-300.0,11600.0,10,0.09
Yam(Ratalu),21673,4250.0,6250.0,2000.0,-1750.0,12250.0,9,0.04
Ragi(Finger Millet),607,3273.25,3750.0,476.75,1843.0,5180.25,8,1.32
Maize,28067,2171.0,3000.0,829.0,-316.0,5487.0,8,0.03
Bhindi(Ladies Finger),114680,3000.0,4500.0,1500.0,-1500.0,9000.0,8,0.01
Cabbage,91397,2000.0,3500.0,1500.0,-2500.0,8000.0,8,0.01
Mango,19057,5000.0,9500.0,4500.0,-8500.0,23000.0,7,0.04
Yam (Ratalu),32251,6000.0,9000.0,3000.0,-3000.0,18000.0,7,0.02
Karbuja(Musk Melon),7538,2500.0,4000.0,1500.0,-2000.0,8500.0,6,0.08
Onion,110982,2750.0,4600.0,1850.0,-2800.0,10150.0,6,0.01
Ragi (Finger Millet),4172,2401.75,3550.0,1148.25,-1043.0,6994.75,5,0.12
Cotton,6376,5700.0,7600.0,1900.0,0.0,13300.0,5,0.08
Gur(Jaggery),323,3707.5,4417.0,709.5,1579.0,6545.5,4,1.24
Onion Green,109467,4000.0,6000.0,2000.0,-2000.0,12000.0,4,0.0
Ground Nut Seed,395,7970.5,9780.0,1809.5,2542.0,15208.5,4,1.01
Cowpea (Lobia/Karamani),338,4491.75,7668.0,3176.25,-5037.0,17196.75,4,1.18
Grapes,16193,8500.0,12000.0,3500.0,-2000.0,22500.0,4,0.02
Cashewnuts,325,10000.0,11350.0,1350.0,5950.0,15400.0,3,0.92
Pineapple,9029,5000.0,8000.0,3000.0,-4000.0,17000.0,3,0.03
Jamun(Narale Hannu),2487,8000.0,16000.0,8000.0,-16000.0,40000.0,2,0.08
Beetroot,91279,3000.0,5000.0,2000.0,-3000.0,11000.0,2,0.0
Green Peas,22185,6000.0,14000.0,8000.0,-18000.0,38000.0,2,0.01
Colacasia,40024,4000.0,6550.0,2550.0,-3650.0,14200.0,2,0.0
Garlic,42543,13000.0,26000.0,13000.0,-26000.0,65000.0,2,0.0
Rose(Local),16622,10000.0,20000.0,10000.0,-20000.0,50000.0,2,0.01
Chili Red,2848,16000.0,22000.0,6000.0,-2000.0,40000.0,1,0.04
Castor Seed,145,6030.0,6829.0,799.0,3633.0,9226.0,1,0.69
Black Gram(Urd Beans)(Whole),13,7700.0,8050.0,350.0,6650.0,9100.0,1,7.69
Elephant Yam(Suran)/Amorphophallus,24470,3400.0,4750.0,1350.0,-650.0,8800.0,1,0.0
Jowar(Sorghum),2413,1800.0,4000.0,2200.0,-4800.0,10600.0,1,0.04
Tamarind Fruit,17831,10000.0,15000.0,5000.0,-5000.0,30000.0,1,0.01
Green Gram (Moong)(Whole),1239,5973.5,7492.5,1519.0,1416.5,12049.5,1,0.08
Turmeric,4645,6470.0,10829.0,4359.0,-6607.0,23906.0,1,0.02
Thinai (Italian Millet),860,3009.0,5443.5,2434.5,-4294.5,12747.0,1,0.12
Sunflower,162,4453.0,5210.0,757.0,2182.0,7481.0,1,0.62
Gingelly Oil,848,10586.0,13583.25,2997.25,1594.25,22575.0,0,0.0
Dry Chillies,641,12500.0,18000.0,5500.0,-4000.0,34500.0,0,0.0
Custard Apple(Sharifa),2661,3750.0,5500.0,1750.0,-1500.0,10750.0,0,0.0
Fig(Anjura/Anjeer),2348,6000.0,14000.0,8000.0,-18000.0,38000.0,0,0.0
Green Gram Dal (Moong Dal),48,5048.5,6894.0,1845.5,-488.0,12430.5,0,0.0
Betal Leaves,11281,8500.0,18000.0,9500.0,-20000.0,46500.0,0,0.0
Bengal Gram(Gram)(Whole),35,4852.5,6000.0,1147.5,1410.0,9442.5,0,0.0
Arhar (Tur/Red Gram)(Whole),1858,5000.0,7000.0,2000.0,-1000.0,13000.0,0,0.0
Arhar(Tur/Red Gram)(Whole),1984,4500.0,6000.0,1500.0,0.0,10500.0,0,0.0
Apple,17182,16000.0,22000.0,6000.0,-2000.0,40000.0,0,0.0
Arecanut(Betelnut/Supari),34,9000.0,15500.0,6500.0,-10500.0,35000.0,0,0.0
Black Gram (Urd Beans)(Whole),4994,6629.0,8629.75,2000.75,626.75,14632.0,0,0.0
Black Gram Dal (Urd Dal),288,5898.75,8566.25,2667.5,-2103.75,16568.75,0,0.0
Groundnut Pods (Raw),42,2740.0,3765.0,1025.0,-335.0,6840.0,0,0.0
Groundnut (Split),325,9250.0,10400.0,1150.0,5800.0,13850.0,0,0.0
Neem Seed,12,4250.0,11465.0,7215.0,-17395.0,33110.0,0,0.0
Mousambi(Sweet Lime),17989,3750.0,7000.0,3250.0,-6000.0,16750.0,0,0.0
Kodo Millet(Varagu),270,2199.25,3014.25,815.0,-245.75,5459.25,0,0.0
Karamani,70,5089.5,7949.0,2859.5,-3489.0,16527.5,0,0.0
Kulthi(Horse Gram),390,4514.25,6129.0,1614.75,-330.0,10973.25,0,0.0
Lime,34756,3000.0,13000.0,10000.0,-27000.0,43000.0,0,0.0
Jack Fruit(Ripe),2128,2250.0,5000.0,2750.0,-6000.0,13250.0,0,0.0
Mashrooms,28098,3500.0,22500.0,19000.0,-53500.0,79500.0,0,0.0
Moath Dal,14,1970.0,4084.5,2114.5,-4373.5,10428.0,0,0.0
Red gram/Arhar/Tur(whole),76,4500.0,5500.0,1000.0,1500.0,8500.0,0,0.0
Sugarcane,233,2750.0,4005.0,1255.0,-1015.0,7770.0,0,0.0
"Sesamum(Sesame,Gingelly,Til)",3958,10309.25,13662.5,3353.25,249.5,23722.25,0,0.0
Rubber,81,11000.0,14500.0,3500.0,500.0,25000.0,0,0.0
T.V. Cumbu,2810,3120.5,6850.0,3729.5,-8068.0,18038.5,0,0.0
