District,Record_Count,Earliest_Date,Latest_Date,Unique_Commodities,Unique_Markets,Unique_Varieties,Median_Modal_Price,Coverage_Days
Salem,399014,2022-01-03,2026-06-15,109,49,115,4000.0,1624
Thiruvannamalai,251512,2022-01-03,2026-06-15,109,42,136,4000.0,1624
Madurai,234329,2022-01-01,2026-06-15,95,23,101,4750.0,1626
Vellore,220022,2022-01-03,2026-06-15,114,33,126,4000.0,1624
Theni,209274,2022-01-03,2026-06-15,85,21,94,3500.0,1624
Virudhunagar,193800,2023-06-01,2026-06-15,86,25,86,4000.0,1110
Namakkal,192212,2022-01-03,2026-06-15,109,21,107,4000.0,1624
Thiruchirappalli,172759,2024-06-06,2026-06-15,90,25,94,4000.0,739
Erode,169947,2022-06-01,2026-06-15,113,48,124,3750.0,1475
Dharmapuri,165081,2023-05-03,2026-06-15,84,18,96,4000.0,1139
Krishnagiri,162775,2024-06-18,2026-06-15,90,18,90,4000.0,727
Thiruvarur,144272,2022-01-03,2026-06-15,67,23,74,4000.0,1624
Sivaganga,135344,2024-06-18,2026-06-15,64,18,65,4250.0,727
Pudukkottai,128807,2023-10-31,2026-06-15,78,24,87,4000.0,958
Thanjavur,126324,2022-01-03,2026-06-15,81,27,89,4600.0,1624
Villupuram,124595,2022-01-03,2026-06-15,110,36,127,4000.0,1624
Thirupur,124213,2024-07-16,2026-06-15,72,10,78,3750.0,699
Dindigul,113804,2022-06-01,2026-06-15,85,24,94,4000.0,1475
Karur,112484,2024-06-18,2026-06-15,75,15,73,4000.0,727
Thirunelveli,112384,2024-06-18,2026-06-15,77,20,82,4000.0,727
Cuddalore,100961,2022-01-03,2026-06-15,93,28,112,4000.0,1624
Nagapattinam,93820,2022-01-03,2026-06-15,71,23,85,4250.0,1624
Nilgiris,92596,2024-07-16,2026-06-15,64,8,71,4500.0,699
Kancheepuram,82914,2022-01-03,2026-06-15,83,34,96,4000.0,1624
Ranipet,71829,2024-07-16,2026-06-15,86,4,87,4500.0,699
Tuticorin,66045,2024-06-18,2026-06-15,77,13,72,4500.0,727
Thiruvellore,65193,2022-09-23,2026-06-15,67,16,76,4000.0,1361
Kallakuruchi,64423,2024-07-16,2026-06-15,82,5,77,4500.0,699
Thirupathur,57516,2024-07-16,2026-06-15,74,4,70,4000.0,699
Ramanathapuram,57359,2022-04-05,2026-06-15,65,14,65,5500.0,1532
Tenkasi,52677,2024-07-16,2026-06-15,68,8,72,4000.0,699
Coimbatore,49998,2022-01-01,2026-06-15,87,15,94,4000.0,1626
Kanyakumari,45618,2022-01-04,2026-06-15,68,11,70,5000.0,1623
Ariyalur,38606,2022-01-01,2026-06-15,68,10,61,4400.0,1626
Perambalur,36753,2024-07-16,2026-06-15,74,3,73,5000.0,699
Chengalpattu,29998,2024-07-16,2026-06-15,76,3,79,4000.0,699
